id,Name,Visitor Institution,Post Date,Host,Content,Permalink,Unix Start Date,Unix End Date,Academic Year (as defined on website backend = FY-1),Programs,International,Host Type
8932,Danielle Frostig,Massachusetts Institute of Technology,11/10/2023,Adam Miller,,https://ciera.northwestern.edu/visits/danielle-frostig/,1700006400,1700179140,2023,observational-astronomy-meetings,0,Group Meeting
8906,Eltha Yu-Hsuan Teng,"University of California, San Diego",11/7/2023,Allison Strom,,https://ciera.northwestern.edu/visits/eltha-yu-hsuan-teng/,1700006400,1700092740,2023,,0,Group Meeting
8896,Subo Dong,Peking University ,11/2/2023,Yoram Lithwick,,https://ciera.northwestern.edu/visits/subo-dong/,1699833600,1700006340,2023,special-astronomy-seminars,1,Astro Faculty
8741,Rob Simcoe,Massachusetts Institute of Technology,10/10/2023,Allison Strom,,https://ciera.northwestern.edu/visits/rob-simcoe/,1699920000,1700006340,2023,astrophysics-seminars,0,Astro Faculty
8980,Janosz Dewberry,Canadian Institute for Theoretical Astrophysics,11/26/2023,Zoheyr Doctor,,https://ciera.northwestern.edu/visits/janosz-dewberry-5/,1699920000,1700006340,2023,,1,Group Meeting
8747,Nianyi Chen,Carnegie Mellon University,10/10/2023,,,https://ciera.northwestern.edu/visits/nianyi-chen/,1699833600,1699919940,2023,special-astronomy-seminars,0,Astro Faculty
8898,Viraj Pandya,Columbia University,11/2/2023,Claude-Andr� Faucher-Gigu�re,,https://ciera.northwestern.edu/visits/viraj-pandya/,1699488000,1699574340,2023,theory-group-meetings,0,Group Meeting
8908,Janosz Dewberry,Canadian Institute for Theoretical Astrophysics,11/7/2023,Zoheyr Doctor,,https://ciera.northwestern.edu/visits/janosz-dewberry-4/,1699488000,1699574340,2023,,1,Group Meeting
8739,Diana Powell,University of Chicago,10/10/2023,Jason Wang ,,https://ciera.northwestern.edu/visits/diana-powell/,1699315200,1699401540,2023,astrophysics-seminars,0,Group Meeting
8863,Navin Sridhar,Columbia University,10/27/2023,Sasha Tchekhovskoy,,https://ciera.northwestern.edu/visits/navin-sridhar/,1698710400,1699055940,2023,theory-group-meetings,0,Group Meeting
8877,Linhao Ma,Caltech,10/31/2023,Meng Sun,,https://ciera.northwestern.edu/visits/linhao-ma/,1698796800,1699055940,2023,theory-group-meetings,0,Group Meeting
8861,Shreya Anand,Caltech,10/27/2023,Wen-fai Fong,,https://ciera.northwestern.edu/visits/shreya-anand/,1698796800,1698883200,2023,observational-astronomy-meetings,0,Group Meeting
8893,Wynn Jacobson-Galan,"University of California, Berkeley",11/2/2023,Charlie Kilpatrick,,https://ciera.northwestern.edu/visits/wynn-jacobson-galan/,1698796800,1698883140,2023,observational-astronomy-meetings,0,Group Meeting
8737,Keith Hawkins,"University of Texas, Austin",10/9/2023,Allison Strom,,https://ciera.northwestern.edu/visits/keith-hawkins-2/,1698710400,1698796740,2023,astrophysics-seminars,0,Astro Faculty
8892,Colm Talbot,University of Chicago,10/31/2023,Zoheyr Doctor,,https://ciera.northwestern.edu/visits/colm-talbot-2/,1698710400,1698796740,2023,,0,Group Meeting
8869,Soham Mandal,Purdue University,10/30/2023,Sasha Tchekhovskoy,,https://ciera.northwestern.edu/visits/soham-mandal/,1698278400,1698451140,2023,special-astronomy-seminars,0,Astro Faculty
8873,Akshara Viswanathan,University of Groningen,10/30/2023,Tjitske Starkenburg,,https://ciera.northwestern.edu/visits/akshara-viswanathan/,1698364800,1698451140,2023,,1,Astro Faculty
8540,Ronaldo Laishram,Tohoku University,8/10/2023,Allison Strom,,https://ciera.northwestern.edu/visits/ronaldo-laishram/,1696118400,1698278400,2024,,1,Grad Student
8735,Ashley Villar,Harvard University,10/9/2023,Tarraneh Eftekhari,,https://ciera.northwestern.edu/visits/ashley-villar-2/,1698105600,1698191940,2023,astrophysics-seminars,0,Astro Faculty
8798,Alexander Criswell,University of Minnesota,10/23/2023,Sharan Banagiri,,https://ciera.northwestern.edu/visits/alexander-criswell/,1697673600,1697846340,2023,,0,Astro Faculty
8745,Floor Brekgaarden,Columbia University,10/10/2023,,,https://ciera.northwestern.edu/visits/floor-brekgaarden/,1697414400,1697587140,2023,special-astronomy-seminars,0,Astro Faculty
8733,DJ Pasham,Massachusetts Institute of Technology,10/9/2023,Lena Murchikova,,https://ciera.northwestern.edu/visits/dj-pasham/,1697500800,1697587140,2023,astrophysics-seminars,0,Astro Faculty
8730,Pablo Laguna,"University of Texas, Austin",10/9/2023,Fred Rasio ,,https://ciera.northwestern.edu/visits/pablo-laguna-2/,1696896000,1696982340,2023,astrophysics-seminars,0,Astro Faculty
8749,Leah Jenks,University of Chicago,10/10/2023,Zoheyr Doctor,,https://ciera.northwestern.edu/visits/leah-jenks/,1696809600,1696895940,2023,special-astronomy-seminars,0,Astro Faculty
8751,Amy Secunda,Princeton University ,10/10/2023,Sasha Tchekhovskoy,,https://ciera.northwestern.edu/visits/amy-secunda/,1696377600,1696636740,2023,theory-group-meetings,1,Astro Faculty
8754,Marcia Bartusiak,Massachusetts Institute of Technology,10/10/2023,,,https://ciera.northwestern.edu/visits/marcia-bartusiak/,1696464000,1696550340,2023,ciera-annual-public-lectures,0,Astro Faculty
8757,Annalisa Citro,University of Minnesota,10/10/2023,,,https://ciera.northwestern.edu/visits/annalisa-citro/,1696377600,1696463940,2023,observational-astronomy-meetings,0,Astro Faculty
8729,Daniel Stark,University of Arizona,10/9/2023,Allison Strom,,https://ciera.northwestern.edu/visits/daniel-stark-2/,1696291200,1696377540,2023,astrophysics-seminars,0,Grad Student
